Away Team,Home Team,Away,Home,Sum Pt,Winner,Winner,Away,Home,Sum Pts,Off by,Winner,Away,Home,Sum Pts,Off by,Winner
Bengals,Browns,30,35,65,Home,Carter,26,24,15,15,Away,20,13,32,32,Away
Giants,Bears,13,17,30,Home,Kyle,12,23,5,7,Home,10,15,5,5,Home
Rams,Eagles,37,19,56,Away,Kyle,24,23,9,17,Away,32,23,1,9,Away
Falcons,Cowboys,39,40,79,Home,Kyle,21,20,38,38,Away,20,21,38,38,Home
Panthers,Buccaneers,17,31,48,Home,Carter,19,34,5,5,Home,24,28,4,10,Home
49ers,Jets,31,13,44,Away,Carter,40,10,6,12,Away,17,10,17,17,Away
Broncos,Steelers,21,26,47,Home,Kyle,14,33,0,14,Home,17,21,9,9,Home
Jaguars,Titans,30,33,63,Home,Carter,18,27,18,18,Home,12,16,35,35,Home
Lions,Packers,21,42,63,Home,Carter,20,45,2,4,Home,35,40,12,16,Home
Bills,Dolphins,31,28,59,Away,Carter,26,17,16,16,Away,21,13,25,25,Away
Vikings,Colts,11,28,39,Home,Kyle,39,14,14,42,Away,24,17,2,24,Away
Washington,Cardinals,15,30,45,Home,Carter,18,26,1,7,Home,28,24,7,19,Away
Ravens,Texans,33,16,49,Away,Carter,33,20,4,4,Away,21,10,18,18,Away
Cheifs,Chargers,23,20,43,Away,Kyle,48,17,22,28,Away,38,20,15,15,Away
Patriots,Seahawks,30,35,65,Home,Carter,24,27,14,14,Home,24,23,18,18,Away
Saints,Raiders,24,34,58,Home,Kyle,41,18,1,33,Away,30,20,8,20,Away
